tipo_entidad,institucion,pais,sector,lat,lon
Universidad,"IRCCS FONDAZIONE OSPEDALE SAN CAMILLO
University of Padova",Italy,E-health,41.87194,12.56738
Universidad,Scuola Superiore Sant´Anna,Italy,Medical Devices,41.87194,12.56738
Universidad,Seconda Universitá degli Studi di Napoli,Italy,Biotech (Diagnóstico y equipos médicos),41.87194,12.56738
Universidad,Seconda Università degli Studi di Napoli,Italy,Otros,41.87194,12.56738
Universidad,Universidad de Pavia,Italy,E-health,41.87194,12.56738
Universidad,Universidad Rovira i Virgili,Italy,Otros,41.87194,12.56738
Universidad,Università de Bologna UNIBO ,Italy,Otros,41.87194,12.56738
Universidad,Universita degli Studi Di Milan,Italy,E-health,41.87194,12.56738
Universidad,Università degli Studi di Milano,Italy,Otros,41.87194,12.56738
Universidad,Università degli Studi di Napoli Federico II,Italy,Otros,41.87194,12.56738
Universidad,Universita degli Studi di Padova,Italy,E-health,41.87194,12.56738
Universidad,Università degli Studi di Padova,Italy,Otros,41.87194,12.56738
Universidad,Universita degli Studi di Roma la Sapienza,Italy,Otros,41.87194,12.56738
Universidad,Universitá degli Studi di Roma La Sapienza,Italy,Otros,41.87194,12.56738
Universidad,Universitá degli Studi di Roma La Sapienza,Italy,Farma,41.87194,12.56738
Universidad,Universitá degli Studi di Roma La Sapienza,Italy,Otros,41.87194,12.56738
Universidad,Universitá degli Studi di Roma La Sapienza,Italy,Otros,41.87194,12.56738
Universidad,Universitá degli studi di Torino,Italy,Biotech (Diagnóstico y equipos médicos),41.87194,12.56738
Universidad,Universitá degli studi di Torino,Italy,E-health,41.87194,12.56738
Universidad,Universitá degli studi di Torino,Italy,Otros,41.87194,12.56738
Universidad,Universitá degli studi di Torino ,Italy,Otros,41.87194,12.56738
Universidad,Universitá degli studi di Verona,Italy,Biotech (Diagnóstico y equipos médicos),41.87194,12.56738
Universidad,Università di Bologna  Dipertimento di Scienze Neurologiche,Italy,Otros,41.87194,12.56738
Universidad,University Degli study di Milano ,Italy,Otros,41.87194,12.56738
Universidad,University of Genova,Italy,Otros,41.87194,12.56738
Universidad,University of Insubria,Italy,Otros,41.87194,12.56738
Universidad,University of Milan,Italy,Otros,41.87194,12.56738
